isco08,isco_name,feor_08,feor_08_name
3119,Máshová nem sorolható természettudományi és műszaki technikusok,3113,Élelmiszer-ipari technikus
3119,Máshová nem sorolható természettudományi és műszaki technikusok,3114,Fa- és könnyűipari technikus
3119,Máshová nem sorolható természettudományi és műszaki technikusok,3133,Földmérő és térinformatikai technikus
3119,Máshová nem sorolható természettudományi és műszaki technikusok,3135,Minőségbiztosítási technikus
3119,Máshová nem sorolható természettudományi és műszaki technikusok,3139,"Egyéb, máshova nem sorolható technikus"
3119,Máshová nem sorolható természettudományi és műszaki technikusok,3162,Energetikus
3119,Máshová nem sorolható természettudományi és műszaki technikusok,3163,Munkavédelmi és üzembiztonsági foglalkozású
3119,Máshová nem sorolható természettudományi és műszaki technikusok,3190,Egyéb műszaki foglalkozású
3121,Bányászati irányítók,3211,"Bányászati szakmai irányító, felügyelő"
3122,Feldolgozóipari irányítók,3212,"Feldolgozóipari szakmai irányító, felügyelő"
3123,Építőipari irányítók,3213,"Építőipari szakmai irányító, felügyelő"
3131,Erőműkezelők,3151,Energetikai (erőművi) berendezés vezérlője
3132,Égetőüzemi és víztisztító berendezések kezelői,3152,"Égető-, víz- és csatornaművi berendezés vezérlője"
3133,Vegyipari feldolgozó berendezések kezelői,3153,Vegyipari alapanyag-feldolgozó berendezés vezérlője
3134,Kőolaj- és földgázfinomító berendezések kezelői,3154,Kőolaj- és földgázfinomító berendezés vezérlője
3135,Fémfeldolgozási folyamatirányító rendszerek kezelői,3155,Fémgyártási berendezés vezérlője
3139,Folyamatirányító rendszerek máshová nem sorolható kezelő technikusai,3159,Egyéb folyamatirányító berendezés vezérlője
3141,Élettani tudományok technikusai (kivéve az orvostudományt),,
3142,Mezőgazdasági technikusok,3131,Mezőgazdasági technikus
3142,Mezőgazdasági technikusok Mezőgazdasági technikusok,3342,Növényorvosi (növényvédelmi) asszisztens
3143,Erdésztechnikusok Erdésztechnikusok,3132,Erdő- és természetvédelmi technikus
3151,Hajógépészek,3171,"Tengeri és belvízi hajóparancsnok, fedélzeti tiszt"
3152,Hajós fedélzeti tisztek és hajóvezetők,3171,"Tengeri és belvízi hajóparancsnok, fedélzeti tiszt"
3153,Légijármű-vezetők és hasonló foglalkozásúak,3172,"Légijármű-vezető, hajózómérnök"
3154,Légiirányítók,3173,Légiforgalmi irányító
3155,Légiközlekedés-biztonsági elektrotechnikusok,3174,Légiforgalmi irányítástechnikai berendezések üzemeltetője
3211,Orvosi képalkotó diagnosztikai és terápiás berendezések technikusai,3323,Orvosi képalkotó diagnosztikai és terápiás berendezések kezelője
3212,Orvosi és patológiai labortechnikusok,3324,Orvosi laboratóriumi asszisztens
3213,Gyógyszerésztechnikusok és -asszisztensek,3326,Gyógyszertári és gyógyszerellátási asszisztens
3214,Gyógyászatisegédeszköz- és fogtechnikusok,3333,Fogtechnikus
3214,Gyógyászatisegédeszköz- és fogtechnikusok,3334,Ortopédiai eszközkészítő
3221,Ápolók,3311,"Ápoló, szakápoló"
3222,Szülészeti asszisztensek,3312,Szülész(nő)i tevékenység segítője
3230,Hagyományos orvoslás és alternatív gyógymód foglalkozásúak,3327,Alternatív gyógymódok alkalmazásának segítője
3240,Állatorvosi technikusok és asszisztensek,3341,Állatorvosi asszisztens
3251,Fogászati asszisztensek és terapeuták,3325,Fogászati asszisztens
3252,Egészségügyi nyilvántartások és dokumentációk technikusai,3322,Egészségügyi dokumentátor
3253,Közösségi egészségügyi foglalkozásúak Közösségi egészségügyi foglalkozásúak,2225,Védőnő
3254,Látszerészek,3335,Látszerész
3255,Fizioterápiás technikusok és asszisztensek,3332,"Fizioterápiás asszisztens, masszőr"
3256,Orvosi asszisztensek,3321,Általános egészségügyi asszisztens
3257,Környezet- és foglalkozás-egészségügyi ellenőrök,3331,Környezet- és foglalkozás-egészségügyi kiegészítő foglalkozású
3258,Mentőápolók,2226,Mentőtiszt
3259,Máshová nem sorolható egészségügyi foglalkozásúak,3339,"Egyéb, humánegészségügyhöz kapcsolódó foglalkozású"
3311,Értékpapír-kereskedők és pénzügyi közvetítők,3613,"Tőzsde- és pénzügyi ügynök, bróker"
3312,Hitel- és kölcsönügyintézők,3612,Pénzintézeti ügyintéző
3313,Számviteli foglalkozásúak,3611,Pénzügyi ügyintéző (a pénzintézeti ügyintéző kivételével)
3313,Számviteli foglalkozásúak,3614,Számviteli ügyintéző
3314,"Statisztikusokat, matematikusokat és aktuáriusokat segítő foglalkozások",3615,Statisztikai ügyintéző
3315,Becsüsök és kárfelmérők,3616,"Értékbecslő, kárbecslő, kárszakértő"
3321,Biztosítási üzletkötők,3621,"Biztosítási ügynök, ügyintéző"
3322,Kereskedelmi értékesítők,3622,Kereskedelmi ügyintéző
3323,Felvásárlók,3623,"Anyaggazdálkodó, felvásárló"
3324,Kereskedelmi üzletkötők,3624,Ügynök (a biztosítási ügynök kivételével)
